分群,選項,分子,分母,群內比例,全體比例,lift,信賴度
從未接觸,台北市,6,26,0.2308,0.3228,0.71,L1（僅供參考）
從未接觸,新北市,10,26,0.3846,0.3071,1.25,L1（僅供參考）
從未接觸,桃園市,3,26,0.1154,0.0866,1.33,L1（僅供參考）
從未接觸,台中市,1,26,0.0385,0.0709,0.54,L1（僅供參考）
從未接觸,北部其他（基隆、新竹市、新竹縣）,1,26,0.0385,0.0551,0.7,L1（僅供參考）
從未接觸,台南市,1,26,0.0385,0.0472,0.81,L1（僅供參考）
從未接觸,高雄市,2,26,0.0769,0.0394,1.95,L1（僅供參考）
從未接觸,東部區域（宜蘭、花蓮、台東）,0,26,0.0,0.0315,0.0,L1（僅供參考）
從未接觸,中部區域（苗栗、彰化、南投、雲林）,1,26,0.0385,0.0236,1.63,L1（僅供參考）
從未接觸,南部其他（嘉義市、嘉義縣、屏東）,1,26,0.0385,0.0157,2.44,L1（僅供參考）
從未接觸,目前居住於海外,0,26,0.0,0.0157,0.0,L1（僅供參考）
接觸未參與,台北市,20,54,0.3704,0.3228,1.15,L3
接觸未參與,新北市,12,54,0.2222,0.3071,0.72,L3
接觸未參與,桃園市,6,54,0.1111,0.0866,1.28,L3
接觸未參與,台中市,4,54,0.0741,0.0709,1.05,L3
接觸未參與,北部其他（基隆、新竹市、新竹縣）,4,54,0.0741,0.0551,1.34,L3
接觸未參與,台南市,2,54,0.037,0.0472,0.78,L3
接觸未參與,高雄市,2,54,0.037,0.0394,0.94,L3
接觸未參與,東部區域（宜蘭、花蓮、台東）,2,54,0.037,0.0315,1.18,L3
接觸未參與,中部區域（苗栗、彰化、南投、雲林）,1,54,0.0185,0.0236,0.78,L3
接觸未參與,南部其他（嘉義市、嘉義縣、屏東）,1,54,0.0185,0.0157,1.18,L3
接觸未參與,目前居住於海外,0,54,0.0,0.0157,0.0,L3
曾參與,台北市,15,47,0.3191,0.3228,0.99,L2
曾參與,新北市,17,47,0.3617,0.3071,1.18,L2
曾參與,桃園市,2,47,0.0426,0.0866,0.49,L2
曾參與,台中市,4,47,0.0851,0.0709,1.2,L2
曾參與,北部其他（基隆、新竹市、新竹縣）,2,47,0.0426,0.0551,0.77,L2
曾參與,台南市,3,47,0.0638,0.0472,1.35,L2
曾參與,高雄市,1,47,0.0213,0.0394,0.54,L2
曾參與,東部區域（宜蘭、花蓮、台東）,2,47,0.0426,0.0315,1.35,L2
曾參與,中部區域（苗栗、彰化、南投、雲林）,1,47,0.0213,0.0236,0.9,L2
曾參與,南部其他（嘉義市、嘉義縣、屏東）,0,47,0.0,0.0157,0.0,L2
曾參與,目前居住於海外,2,47,0.0426,0.0157,2.7,L2
